TenureGroup,PreferredPaymentMode,用户数,流失人数,流失率,平均订单数,样本提示
新用户,Cash on Delivery,58,42,0.7241379310344828,1.603448275862069,可观察
新用户,Credit Card,168,79,0.47023809523809523,1.7916666666666667,可观察
新用户,Debit Card,180,89,0.49444444444444446,2.1166666666666667,可观察
新用户,E wallet,59,40,0.6779661016949152,1.5423728813559323,可观察
新用户,UPI,43,22,0.5116279069767442,2.186046511627907,可观察
0-6个月,Cash on Delivery,158,58,0.3670886075949367,3.0316455696202533,可观察
0-6个月,Credit Card,533,116,0.2176360225140713,2.530956848030019,可观察
0-6个月,Debit Card,652,153,0.23466257668711657,2.7699386503067487,可观察
0-6个月,E wallet,184,64,0.34782608695652173,2.505434782608696,可观察
0-6个月,UPI,115,34,0.2956521739130435,2.7130434782608694,可观察
7-12个月,Cash on Delivery,134,12,0.08955223880597014,3.1044776119402986,可观察
7-12个月,Credit Card,461,37,0.08026030368763558,2.932754880694143,可观察
7-12个月,Debit Card,702,77,0.10968660968660969,2.6396011396011394,可观察
7-12个月,E wallet,151,18,0.11920529801324503,2.8410596026490067,可观察
7-12个月,UPI,136,12,0.08823529411764706,2.2205882352941178,可观察
13-24个月,Cash on Delivery,126,16,0.12698412698412698,3.6984126984126986,可观察
13-24个月,Credit Card,452,20,0.04424778761061947,3.9269911504424777,可观察
13-24个月,Debit Card,614,37,0.06026058631921824,3.54885993485342,可观察
13-24个月,E wallet,169,18,0.10650887573964497,4.094674556213017,可观察
13-24个月,UPI,106,4,0.03773584905660377,3.047169811320755,可观察
24个月以上,Cash on Delivery,38,0,0.0,2.4210526315789473,可观察
24个月以上,Credit Card,160,0,0.0,3.95,可观察
24个月以上,Debit Card,166,0,0.0,3.5301204819277108,可观察
24个月以上,E wallet,51,0,0.0,3.450980392156863,可观察
24个月以上,UPI,14,0,0.0,2.5,小样本
